a_doob_martingale_combinatorial | axiom | Doob martingale (combinatorial)
s_generic_ultrapower | state | generic ultrapower
s_gessels_formula_p_partitions | theorem | Gessel's formula for P-partitions
s_gimel_function | state | Gimel function ℷ(κ)
s_glued_proper_overscheme_X_bar | state | glued proper overscheme X bar
s_godel_L_model | state | Gödel L model (alias)
s_goedel_constructibility | theorem | goedel_constructibility
s_going_up_theorem | theorem | Going-up theorem (Cohen–Seidenberg)
s_grade_of_an_ideal | state | Grade of an ideal
s_graph_property_testability | theorem | Testability of hereditary graph properties
s_graph_ramsey_number | axiom | Graph Ramsey number R(G, H)
s_graph_ramsey_theory | state | graph Ramsey theory
s_graph_removal_lemma_diestel | theorem | Graph removal lemma
s_group_type_fp | axiom | Group of type FP
s_growth_rate_stationary_market | theorem | Asymptotic optimality of log-optimal investment (AEP for investment)
s_hardy_ramanujan_partition_asymptotic | theorem | Hardy–Ramanujan partition asymptotic
s_harmonic_mvp_characterization | theorem | Mean value property characterizes harmonic functions
s_hawking_temperature_kappa_over_2pi | state | hawking temperature kappa over 2pi
s_hecke_l_function_grossencharakter | axiom | Hecke L-function
s_height_of_a_prime_ideal | axiom | Height of a prime ideal
s_hensels_lemma_2 | theorem | hensels_lemma
s_hereditarily_small_sets_H_kappa | state | Hereditarily small sets H(κ)
s_hessenberg_kappa_squared | theorem | Hessenberg's theorem (κ²=κ)
s_hilbert_symbol_properties | theorem | Bilinearity and non-degeneracy of the Hilbert symbol
s_hochster_big_cm_modules | theorem | Hochster's theorem on big Cohen-Macaulay modules
s_hodge_diamond | state | Hodge diamond
s_homogeneous_ideal | axiom | homogeneous ideal
s_homogeneous_tree_for_T | state | homogeneous tree for T
s_homotopy_extension_property | axiom | Homotopy extension property
s_homotopy_grid_partition | state | homotopy grid partition
s_homotopy_lifting_property | theorem | Homotopy lifting property
s_hrushovski_generic_structure | state | hrushovski generic structure
s_huge_cardinal | state | Huge cardinal
s_hydra_ordinal_invariant | state | hydra ordinal invariant
s_hypergraph_ramsey_number | state | Hypergraph Ramsey number
s_hypothetical_suslin_tree | state | hypothetical suslin tree
s_ideal_I | state | Ideal I
s_ideal_a_b_in_R | state | ideal a b in R
s_ideal_as_maximal_minors | state | ideal as maximal minors
s_ideal_class_group | state | Ideal class group
s_ideal_class_group_2 | axiom | ideal_class_group
s_ideal_in_R_x | state | Ideal in R[x]
s_ideal_lattice | state | Ideal lattice
s_ideal_of_a_ring | axiom | Ideal (of a ring)
s_ideal_of_an_algebraic_set | state | ideal of an algebraic set
s_ideal_of_lie_algebra | axiom | Ideal of a Lie algebra
s_ideal_principal_d | state | ideal principal d
s_ideal_product | axiom | Product of ideals
s_ideal_quotient | axiom | Ideal quotient (colon ideal)
s_ideal_set_theory | axiom | Ideal (set-theoretic)
s_ideal_sheaf | state | Ideal sheaf
s_ideal_sum | axiom | Sum of ideals
s_ideal_theory_group_algebra | state | Ideal theory of L¹(G)
s_ideal_waring_conjecture | state | Ideal Waring conjecture
s_ideal_with_n_generators | axiom | ideal with n generators
s_ideals_quotient_banach_algebra | axiom | Ideals and quotient algebras in Banach algebras
s_improper_integral | axiom | Improper integral (convergent integral on unbounded interval)
s_inaccessible_cardinal_axiom | axiom | inaccessible cardinal axiom
s_incidence_matrix_factorisation_L_eq_B_B_T | state | incidence matrix factorisation L eq B B T
s_independence_of_sigma_algebras | axiom | Independence of σ-algebras
s_index_equals_L_genus_pairing | state | index equals L genus pairing
s_index_homomorphism | theorem | Homomorphism properties of the index function
s_indiscernibility_of_uncountable_cardinals | state | indiscernibility of uncountable cardinals
s_induced_character_l_series_factorization | theorem | Induced character and L-series factorization
s_infinitely_many_woodin_cardinals | axiom | infinitely many woodin cardinals
s_initial_ideal | state | Initial ideal
s_initial_ordinal | state | Initial ordinal
s_integer_partitions | axiom | integer partitions
s_integral_nonneg_measurable_function | axiom | Integral of a nonnegative measurable function
s_integration_by_parts_ac | theorem | Integration by parts for absolutely continuous functions
s_intermediate_value_nonatomic | theorem | Intermediate value property for non-atomic measures
s_intersecting_family_property | axiom | intersecting family property
s_invariant_partition_C_D | state | invariant partition C D
s_invariant_sigma_algebra | state | Invariant σ-algebra of a measure-preserving transformation
s_invertible_ideal | state | Invertible ideal
s_irreducible_ideal | axiom | Irreducible ideal
s_irreducible_ideals_are_primary_in_noetherian_rings | theorem | Irreducible ideals are primary in Noetherian rings
s_isolated_types_dense_iff_omega_categorical | state | isolated types dense iff omega categorical
s_isolation_lemma_mvv | theorem | Isolation lemma (Mulmuley–Vazirani–Vazirani)
s_isolation_lemma_witness | state | isolation lemma witness
s_iterated_critical_points | state | iterated critical points
s_iterated_function_system | axiom | Iterated function system (IFS) as Markov chain
s_iterated_generating_functions_branching | theorem | Iterated generating functions for branching processes
s_iterated_hj_combinatorial_subspace | state | iterated hj combinatorial subspace
s_iterated_holder_on_indicator | state | iterated holder on indicator
s_iterated_neighborhood_of_homoclinic | state | iterated neighborhood of homoclinic
s_iterated_root_adjunction | state | iterated root adjunction
s_iterated_sumset | axiom | Iterated sumset kA
s_iteration_trees_on_V | state | iteration trees on V
s_iterative_orthogonal_eigenbasis | state | iterative orthogonal eigenbasis
s_ito_representation_theorem | theorem | Itô Representation Theorem (martingale representation)
s_jack_polynomial | state | Jack Polynomial P_kappa^{(alpha)}
s_jacobi_four_square_formula | theorem | Jacobi's four-square theorem
s_kappa_categoricity | axiom | kappa categoricity
s_kappa_cc_knaster | state | κ-cc / κ-Knaster
s_kappa_cc_preserves_cardinals | theorem | κ-cc forcing preserves cardinals ≥κ
s_kappa_closed_forcing | state | <κ-closed forcing
s_kappa_complete_filter | axiom | κ-complete filter
s_kappa_prime_sign_change_contradiction | state | kappa prime sign change contradiction
s_kato_smoothness_absolute_continuity | theorem | Kato smoothness implies absolute continuity
s_keisler_shelah_theorem | theorem | Keisler–Shelah ultrapower characterization of elementary equivalence
s_kirchhoff_matrix_tree | theorem | Kirchhoff's matrix tree theorem
s_konig_cardinal_theorem | theorem | König's theorem (cardinal)
s_kostant_partition_function | state | Kostant partition function
s_krull_hauptidealsatz | theorem | Krull's principal ideal theorem (Hauptidealsatz)
s_krull_pit_theorem | theorem | Krull's principal ideal theorem (Hauptidealsatz)
s_kruskal_tree_theorem | theorem | Kruskal's tree theorem
s_kummer_cyclotomic_factorization | theorem | Kummer's theorem on cyclotomic ideal factorization
s_kunen_inconsistency | theorem | Kunen inconsistency theorem
s_kunen_inconsistency_in_L | state | kunen inconsistency in L
s_kurepa_tree | state | Kurepa tree / Kurepa's hypothesis
s_kurepa_tree_in_L | theorem | Kurepa tree exists in L
s_l_adic_cohomology | state | l_adic_cohomology
s_l_adic_galois_representation_of_E | state | l adic galois representation of E
s_l_adic_tate_module | axiom | l adic tate module
s_l_chi0_pole_at_1 | theorem | Pole of L(s,χ₀) at s = 1
s_l_chi0_relation_to_zeta | state | L(s,χ₀) relation to Riemann zeta
s_l_class | state | Hirzebruch L-class
s_l_extension | state | ℓ-extension
s_l_function_central_value | axiom | l function central value
s_l_function_euler_product_local | theorem | Decomposition of L-functions into local zeta integrals
s_l_function_nonvanishing_s1 | theorem | L-function non-vanishing at s = 1
s_l_function_of_modular_form | axiom | L-function of a modular form
s_l_function_of_motive | state | l_function_of_motive
s_l_function_via_hurwitz_zeta | theorem | L(s,χ) as linear combination of Hurwitz zeta functions
s_l_group_functoriality_setup | state | l group functoriality setup
s_l_infinity_not_separable | theorem | L∞ is not separable
s_l_infinity_space | axiom | L-infinity space
s_lagrange_four_square_theorem | theorem | Lagrange's four-square theorem
s_lambda_lemma_extension | state | lambda lemma extension
s_landau_prime_ideal_theorem | theorem | landau_prime_ideal_theorem
s_langlands_l_function | state | Langlands L-function
s_large_cardinal | state | large cardinal
s_large_cardinal_axioms | state | large_cardinal_axioms
s_large_cardinal_consistency_hierarchy | theorem | large cardinal consistency hierarchy
s_lebesgue_measurable_function | state | Lebesgue measurable function
s_lebesgue_measurable_set_in_Rn | axiom | lebesgue measurable set in Rn
s_lebesgue_space_L_p | axiom | lebesgue space L p
s_lebesgue_spaces_L_p_L_q | axiom | lebesgue spaces L p L q
s_lefschetz_number_L_f | state | lefschetz number L f
s_legendre_three_square_theorem | theorem | Legendre's three-square theorem
s_levy_characterization_bm | theorem | Lévy's Characterization of Brownian Motion
s_levy_collapse_model | state | levy collapse model
s_levy_concentration_function | axiom | levy concentration function
s_levy_concentration_function_witness | state | levy concentration function witness
s_levy_continuity_theorem | theorem | Lévy's Continuity Theorem
s_levy_downward_theorem | theorem | Lévy's downward theorem
s_levy_equivalence_theorem | theorem | Lévy's Equivalence Theorem
s_levy_hierarchy | state | Lévy hierarchy (Σ_n/Π_n)
s_levy_inequality | theorem | Lévy's inequality
s_levy_inversion_formula | theorem | Lévy inversion formula
s_levy_ito_decomposition | theorem | Lévy–Itô decomposition
s_levy_khintchine_formula | theorem | Lévy–Khintchine formula
s_levy_khintchine_representation | theorem | Lévy–Khintchine Representation
s_levy_khintchine_triplet | state | Lévy–Khintchine triplet
s_levy_measure_integral_existence | state | levy measure integral existence
s_levy_modulus_continuity | theorem | Lévy Modulus of Continuity for BM
s_levy_process | axiom | Lévy process
s_levy_process_X_t | axiom | levy process X t
s_levy_reflection | theorem | Levy reflection principle
s_levy_reflection_in_L | state | levy reflection in L
s_levy_solovay_theorem | theorem | Lévy–Solovay theorem on indestructibility of large cardinals under small forcing
s_levy_upward_theorem | theorem | Lévy's upward theorem
s_levy_zero_one_law | theorem | Lévy's 0-1 law
s_levys_lemma_on_the_sphere | state | Lévy's lemma on the sphere
s_lil_harris_chain | theorem | Law of the iterated logarithm for Harris chains
s_lil_hartman_wintner | theorem | Law of Iterated Logarithm (Hartman–Wintner)
s_limit_ordinal | state | limit ordinal
s_line_bundle_L_lambda | state | line bundle L lambda
s_linear_form_l_i | axiom | linear form l i
s_liouville_property_recurrent_mc | theorem | Liouville property for recurrent Markov chains
s_littlewood_paley_square_function_theorem | theorem | Littlewood–Paley decomposition
s_lll_algorithm_properties | theorem | lll_algorithm_properties
s_local_boundedness_L_infty | state | local boundedness L infty
s_local_martingale_M_t | axiom | local martingale M t
s_local_property | axiom | Local property of modules
s_local_time | state | Local time of a continuous semimartingale
s_localization_universal_property | theorem | Universal property of localization
s_log_l_series | state | Logarithm of L(s,χ) series
s_log_zeta_bound_near_sigma_1 | state | log ζ(s) bound near σ = 1
s_lovasz_local_lemma_symmetric | theorem | Lovasz Local Lemma (symmetric form)
s_lovasz_theta_ramsey_bound | theorem | Ramsey bound via Lovasz theta function
s_lp_norm_equivalence_with_square_function | state | lp norm equivalence with square function
s_lr_martingale_under_null | state | lr martingale under null
s_macmahon_plane_partition_gf | theorem | MacMahon's plane partition generating function
s_mader_theorem_average_degree | theorem | Mader's theorem (average degree forces topological minors)
s_mahlo_cardinal | state | Mahlo cardinal
s_mansfield_solovay | theorem | Mansfield–Solovay theorem
s_mapping_lemma_spectral_sequences | theorem | Mapping lemma for spectral sequences
s_markov_kernel | axiom | Markov kernel (transition kernel on measurable space)
s_markov_partition_of_attractor | state | markov partition of attractor
s_markov_property | theorem | Markov property
s_markov_property_bm | theorem | Markov property of Brownian motion
s_markov_property_of_groups | axiom | markov property of groups
s_martin_analytic_determinacy | theorem | Martin's theorem: Σ¹₁-determinacy from measurable
s_martin_borel_determinacy | theorem | Martin's Borel determinacy theorem
s_martin_boundary | state | Martin boundary
s_martin_representation_theorem | theorem | Martin representation theorem
s_martin_steel_pd | theorem | Martin–Steel theorem (projective determinacy)
s_martingale | state | Martingale
s_martingale_Lp_convergence | theorem | Martingale Lᵖ convergence theorem
s_martingale_clt | theorem | Martingale central limit theorem
s_martingale_in_initial_time | state | martingale in initial time
s_martingale_problem | axiom | Martingale problem (Stroock–Varadhan)
s_martingale_transform | axiom | Martingale transform
s_martingale_with_bounded_differences | axiom | martingale with bounded differences
s_martins_axiom | axiom | Martin's Axiom (MA)
s_martins_axiom_MA_kappa | axiom | Martin's Axiom MA_κ
s_martins_axiom_MA_omega_1 | axiom | martins axiom MA omega 1
s_matrix_tree | theorem | Matrix-tree theorem
s_matrix_tree_theorem | theorem | Kirchhoff's matrix-tree theorem
s_maximal_cohen_macaulay_module | axiom | Maximal Cohen-Macaulay module
s_maximal_gamma_set_on_M | state | maximal gamma set on M
s_maximal_ideal | axiom | Maximal Ideal
s_maximal_ideal_m_in_k_x_1_x_n | state | Maximal ideal m ⊂ k[x₁,…,xₙ]
s_maximal_ideal_space | state | Maximal ideal space (spectrum) of a Banach algebra
s_maximal_ideals_are_points | state | maximal_ideals_are_points
s_maximum_principle_forcing | theorem | Maximum principle (forcing)
s_mean_square_convergence_fourier | theorem | Mean-square convergence of Fourier series
s_mean_square_density_index_q | state | mean square density index q
s_mean_value_property_for_f | state | mean value property for f
s_mean_value_property_harmonic | theorem | Mean value property for harmonic functions
s_mean_value_property_heat | theorem | Mean value property for the heat equation
s_mean_value_property_on_balls | axiom | mean value property on balls
s_measurable_cardinal_axiom | axiom | measurable cardinal axiom
s_measurable_coefficient_uniform_ellipticity | axiom | measurable coefficient uniform ellipticity
s_measurable_embedding_characterization | theorem | Measurable cardinals and elementary embeddings
s_measurable_function | state | Measurable function
s_measurable_functions_form_algebra | theorem | Measurable functions form an algebra
s_measurable_hilbert_field | state | measurable hilbert field
s_measurable_set | axiom | Measurable Set
s_measurable_set_of_positive_measure | state | measurable set of positive measure
s_measurable_space | axiom | measurable space
s_measurable_subset_of_Rn | axiom | measurable subset of Rn
s_measure_density_lemma_nondivergence | state | measure density lemma nondivergence
s_memoryless_property | theorem | Memoryless property
s_mertens_and_sigma_translations | state | mertens and sigma translations
s_middle_layer_bound_for_antichain | state | middle layer bound for antichain
s_midpoint_preserved_under_reflection | state | midpoint preserved under reflection
s_miller_rabin_correctness | theorem | miller_rabin_correctness
s_miller_rabin_witness | state | miller_rabin_witness
s_minimal_cauchy_filter | state | Minimal Cauchy filter
s_minimizing_property_of_geodesics | theorem | Minimizing property of geodesics
s_mixing_lemma_forcing | theorem | Mixing lemma
s_model_L_of_ZFC_plus_GCH | state | Model L (constructible universe)
s_model_of_ZFC_plus_not_CH | state | Model of ZFC + ¬CH
s_modified_newton_iteration | state | modified newton iteration
s_modified_struve_function_l_nu | state | Modified Struve Function L_nu(z)
s_modularity_theorem | theorem | Modularity theorem (Taylor–Wiles–Breuil–Conrad–Diamond)
s_modularity_theorem_full | theorem | Modularity theorem (full, Breuil–Conrad–Diamond–Taylor)
s_moments_l_functions_conjectural | axiom | Moments of L-functions (conjectural asymptotics)
s_monotone_boolean_function | axiom | Monotone Boolean function
s_monotonicity_lemma_j_holo | theorem | Monotonicity lemma for J-holomorphic curves
s_morley_tree_analysis | state | morley tree analysis
s_moser_isotopy_lemma_relative | theorem | Moser isotopy lemma (relative version)
s_mostowski_absoluteness | theorem | Mostowski absoluteness
s_mostowski_collapse | theorem | Mostowski collapse lemma
s_mostowski_rank_function | theorem | Mostowski rank theorem
s_mu_measurable_function_bourbaki | axiom | Measurable function (Bourbaki, mu-measurable)
s_multivariate_gamma_function | axiom | Multivariate Gamma Function Gamma_m(a)
s_murnaghan_nakayama_rule | theorem | Murnaghan--Nakayama rule
s_n_measurable_bodies_in_Rn | axiom | n measurable bodies in Rn
s_nakayama_lemma | theorem | Nakayama's lemma
s_nakayama_tate_duality | theorem | Nakayama–Tate duality theorem
s_negative_part_V_minus_in_L_n_2 | axiom | negative part V minus in L n 2
s_negative_schwarzian_preserved_under_iteration | state | negative schwarzian preserved under iteration
s_neighborhood_filter | state | Neighborhood filter
s_newton_iteration_of_conjugacies | state | newton iteration of conjugacies
s_newtonian_inverse_square_force | axiom | Newtonian inverse-square force law
s_nil_ideal | axiom | Nil ideal
s_nilpotent_ideal | axiom | Nilpotent ideal
s_nine_lemma_33_lemma | theorem | Nine lemma (3×3 lemma)
s_non_archimedean_absolute_value | axiom | Non-archimedean absolute value
s_nondivergence_elliptic_with_L_infty_coeff | axiom | nondivergence elliptic with L infty coeff
s_nonneg_measurable_function_on_Rn | axiom | nonneg measurable function on Rn
s_nonnegative_submartingale | axiom | nonnegative submartingale
s_nonvanishing_l_functions_at_center | theorem | Nonvanishing results for central L-values
s_norm_of_ideal | axiom | Norm of an ideal N(𝔞)
s_normal_filter | state | Normal filter
s_normal_measure | state | Normal measure
s_normalized_matching_property | state | Normalized matching property
s_normalized_population_martingale_W_n | state | normalized population martingale W n
s_normed_space_with_proper_closed_subspace_Y | axiom | normed space with proper closed subspace Y
s_notion_of_forcing | state | Notion of forcing
s_nowhere_dense_set | axiom | Nowhere dense set
s_object_over_L_with_descent_data | axiom | object over L with descent data
s_off_diagonal_ramsey_bounds | state | Off-diagonal Ramsey bounds
s_omega_1_branch_kills_suslin | state | omega 1 branch kills suslin
s_one_derivative_L_n_over_n_minus_1_bound | state | one derivative L n over n minus 1 bound
s_only_inverse_square_and_harmonic_close_at_first_order | state | only inverse square and harmonic close at first order
s_optional_sigma_algebra | axiom | Optional σ-algebra
s_orbit_dense_in_full_space | state | orbit dense in full space
s_order_property_dichotomy | state | order property dichotomy
s_ordinal_arithmetic | state | Ordinal arithmetic
s_ordinal_arithmetic_below_epsilon_0 | axiom | ordinal arithmetic below epsilon 0
s_ordinal_majorant_sequence_below_epsilon_0 | state | ordinal majorant sequence below epsilon 0
s_ordinal_number | axiom | Ordinal number
s_ordinal_sequence_must_hit_zero | state | ordinal sequence must hit zero
s_p_adic_absolute_value | axiom | p_adic_absolute_value
s_p_adic_l_function | state | p adic l function
s_p_partition_generating_function | state | P-partition generating function
s_padic_absolute_value | axiom | p-adic absolute value
s_painleve_classification_theorem | theorem | Painlevé property and isomonodromy
s_painleve_property | axiom | Painleve Property
s_painleve_property_definition | state | painleve property definition
s_pair_of_sigma_finite_measures_mu_nu | axiom | pair of sigma finite measures mu nu
s_paley_graph_properties | state | Paley graph properties
s_paracompact_partition_unity | theorem | Paracompactness and partitions of unity
s_parameter_ideal | state | Parameter ideal
s_parameter_word_partition_setup | state | parameter word partition setup
s_partial_coloring_lemma_entropy_bucket | state | partial coloring lemma entropy bucket
s_partial_fraction_l_prime_over_l | state | Partial fraction for −L′/L
s_partial_order_for_forcing | state | partial_order_for_forcing
s_partition_calculus | state | Partition calculus (arrow notation)
s_partition_entropy_function | state | partition entropy function
s_partition_function_Z_tau | axiom | partition function Z tau
s_partition_function_depends_only_on_modulus | state | partition function depends only on modulus
s_partition_function_duality_relation | state | partition function duality relation
s_partition_function_graph | state | Partition function of a graph (statistical mechanics)
s_partition_function_polynomial_P_z | state | partition function polynomial P z
s_partition_function_stat_mech | state | Partition Function (Statistical Mechanics) Z
s_partition_generating_function_q_pochhammer | axiom | partition generating function q pochhammer
s_partition_generating_modular | state | partition generating modular
s_partition_lambda | axiom | partition lambda
s_partition_lattice_pi_n | state | Partition lattice Pi_n
s_partition_of_a_set | state | Partition of a set
s_partition_of_an_integer | axiom | partition of an integer
s_partition_of_interval | axiom | Partition of an interval
s_partition_of_unity | state | Partition of unity
s_partition_of_unity_chart_decomposition | state | partition of unity chart decomposition
s_partition_of_unity_presheaf_acyclicity | theorem | Partition of unity argument for presheaves of forms
s_partition_of_unity_smooth | state | Smooth partition of unity
s_partition_regularity | axiom | Partition regularity
s_partition_relation_kappa_to_kappa_2_2 | axiom | partition relation kappa to kappa 2 2
s_partition_size_upper_bound | state | partition size upper bound
s_partition_subordinate_to_expanding | state | partition subordinate to expanding
s_path_lifting_property | theorem | Path lifting property
s_perfect_ideal | axiom | Perfect ideal
s_perfect_ideal_of_height_2 | axiom | perfect ideal of height 2
s_perfect_ideals_unmixed | theorem | Perfect ideals are unmixed
s_perfect_set_property | state | Perfect set property (PSP)
s_perfect_subtree_case | state | perfect subtree case
s_pettis_measurability | theorem | Pettis theorem (weakly measurable = strongly measurable for separable values)
s_phi_reflection_schema_in_L | state | phi reflection schema in L
s_plane_partition | axiom | Plane Partition
s_plus_construction_B_sigma_infty_plus | state | plus construction B sigma infty plus
s_poincare_lemma_compact_support | theorem | Poincaré lemma for compactly supported cohomology
s_poincare_lemma_covector_fields | theorem | Poincare lemma for covector fields
s_poincare_lemma_local_resolution | state | poincare lemma local resolution
s_pointwise_limit_measurable | theorem | Pointwise limit of measurable functions is measurable
s_pointwise_limit_on_dense_set | state | pointwise limit on dense set
s_polygamma_functions | state | Polygamma Functions
s_polygamma_recurrence_relation | theorem | Polygamma Recurrence Relation
s_polygamma_reflection_formula | theorem | Polygamma Reflection Formula
s_positive_square_root | theorem | Positive square root of a positive operator
s_ppartition | state | P-partition
s_predictable_sigma_algebra | axiom | Predictable σ-algebra
s_prewellordering_property | state | Prewellordering property
s_primary_ideal | axiom | Primary ideal
s_prime_ideal | axiom | prime_ideal
s_prime_ideal_chain | axiom | prime ideal chain
s_principal_filter | state | Principal vs non-principal ultrafilter
s_principal_ideal | axiom | principal ideal
s_principal_ideal_domain | axiom | principal ideal domain
s_principal_ideal_theorem_cft | theorem | Principal ideal theorem (Hauptidealsatz, class field theory)
s_product_forcing_lemma | theorem | Product forcing lemma
s_product_sigma_algebra | state | Product σ-algebra
s_projection_iteration_map_T | state | projection iteration map T
s_projective_determinacy | state | projective determinacy
s_projective_hierarchy_proper | theorem | Projective hierarchy is proper
s_proof_ordinal_assignment | state | proof ordinal assignment
s_proof_tree | axiom | proof tree
s_proper_X_with_coherent_sheaf | state | proper X with coherent sheaf
s_proper_action | axiom | Proper action
s_proper_birational_to_normal | state | proper birational to normal
s_proper_cone | axiom | Proper cone
s_proper_equivalence_of_binary_quadratic_forms | axiom | Proper equivalence of binary quadratic forms
s_proper_forcing | state | Proper forcing
s_proper_forcing_axiom | axiom | proper forcing axiom
s_proper_gap | axiom | Proper generalized arithmetic progression
s_proper_holomorphic_mapping_theorem | theorem | Proper holomorphic mapping theorem
s_proper_map | axiom | Proper map
s_proper_morphism | axiom | Proper morphism
s_proper_morphism_finite_type | state | proper morphism finite type
s_proper_smooth_submersion_f_M_to_N | axiom | proper smooth submersion f M to N
s_proper_vertex_coloring | axiom | Proper vertex coloring
s_properness_preserved_CS_iteration | theorem | Properness preserved under CS iteration
s_properties_of_characteristic_functions | state | Properties of characteristic functions
s_properties_of_conditional_expectation | state | Properties of conditional expectation
s_property_b_existence_uniform | theorem | Property B existence for uniform hypergraphs
s_property_of_baire | state | Property of Baire
s_pumping_lemma_regular | theorem | Pumping lemma for regular languages
s_pushout_square_in_spaces | axiom | pushout square in spaces
s_q_gamma_function | state | q-Gamma Function
s_quadratically_convergent_iteration | state | quadratically convergent iteration
s_quillen_suslin_theorem | theorem | Quillen–Suslin theorem (Serre's conjecture)
s_quintic_polynomial | state | Generic quintic polynomial
s_quotient_by_maximal_is_field | theorem | Quotient by Maximal Ideal is Field
s_quotient_by_prime_is_domain | theorem | Quotient by Prime Ideal is Integral Domain
s_rademacher_exact_formula_partition | theorem | Rademacher exact formula for p(n)
s_radical_equals_intersection_of_primes_containing_ideal | theorem | Radical equals intersection of primes containing ideal
s_radical_ideal | state | radical_ideal
s_radical_of_an_ideal | state | Radical of an Ideal
s_rado_partition_regularity | theorem | Rado's theorem (partition regularity)
s_radon_partition_giving_common_intersection | state | radon partition giving common intersection
s_radon_partition_step | state | radon partition step
s_rainbow_partition_problem | state | rainbow partition problem
s_ramanujan_partition_congruences | theorem | Ramanujan's congruences
s_ramsey_cardinal | state | Ramsey cardinal
s_ramsey_lower_bound_alteration | theorem | Ramsey lower bound via alteration
s_ramsey_multiplicity | state | Ramsey multiplicity
s_ramsey_number | axiom | Ramsey number R(r, s)
s_ramsey_number_recurrence_R_r_s | state | ramsey number recurrence R r s
s_ramsey_theorem_diestel | theorem | Ramsey's theorem (finite, graph version)
s_ramsey_theorem_finite | theorem | Ramsey's theorem (finite version)
s_ramsey_theorem_hypergraph | theorem | Ramsey's theorem (hypergraph version)
s_ramsey_theorem_infinite | theorem | Infinite Ramsey theorem
s_ramsey_theorem_infinite_diestel | theorem | Infinite Ramsey theorem
s_ramsey_theorem_multicolor | theorem | Ramsey's theorem (multicolor version)
s_ramsey_upper_bound_lll | state | Off-diagonal Ramsey bound via LLL
s_random_maximal_chain_on_boolean_lattice | state | random maximal chain on boolean lattice
s_random_real_extension_over_measurable | state | random real extension over measurable
s_random_real_forcing | theorem | Solovay random real forcing
s_random_variable | axiom | Random variable
s_rankin_selberg_l_function | axiom | Rankin–Selberg L-function
s_rate_measure_lambda_on_sigma_finite_space | axiom | rate measure lambda on sigma finite space
s_ratio_limit_theorem_chung_erdos_orey | theorem | Ratio limit theorem (Chung-Erdős-Orey form)
s_rayleigh_quotient_with_extremal_property | state | rayleigh quotient with extremal property
s_re_index_set_property | state | re index set property
s_real_subalgebra_dense | state | real subalgebra dense
s_real_valued_measurable_cardinal | axiom | real valued measurable cardinal
s_reciprocal_gamma_entire | state | Reciprocal Gamma as Entire Function
s_recurrence_is_class_property | theorem | Recurrence is a class property
s_recursion_tree_decomposition | state | recursion tree decomposition
s_recursive_binary_tree_T | state | recursive binary tree T
s_recursive_ordinal | axiom | recursive ordinal
s_reduced_suspension_sigma_X | axiom | reduced suspension sigma X
s_reduction_of_an_ideal | state | Reduction of an ideal
s_reduction_to_identity_after_n_reflections | state | reduction to identity after n reflections
s_reference_sigma_finite_measure | axiom | reference sigma finite measure
s_reflection_extension_in_each_chart | state | reflection extension in each chart
s_reflection_generators | state | reflection generators
s_reflection_in_L | theorem | Reflection theorem in L
s_reflection_of_limits | axiom | Reflection of limits
s_reflection_principle | theorem | Reflection principle
s_reflection_principle_bm | theorem | Reflection principle for Brownian motion
s_reflection_s_alpha | state | Reflection s_α in a root system
s_reflection_schema_for_finite_subtheory | state | reflection schema for finite subtheory
s_regressive_finite_ramsey_statement | state | regressive finite ramsey statement
s_regressive_function_on_stationary_set | axiom | regressive function on stationary set
s_regular_cardinal | axiom | Regular cardinal
s_regular_cardinal_arithmetic | axiom | regular cardinal arithmetic
s_regular_uncountable_cardinal_kappa | axiom | regular uncountable cardinal kappa
s_regularity_partition | state | regularity partition
s_relations_collapse_to_14 | state | relations collapse to 14
s_relative_constructibility_L_A | state | Relative constructibility L[A]
s_relatively_large_ramsey_statement | state | relatively large ramsey statement
s_remmert_proper_mapping_theorem | theorem | Remmert proper mapping theorem
s_replete_ideal | axiom | Replete ideal (Arakelov ideal)
s_rescaled_iteration_on_cone | state | rescaled iteration on cone
s_right_continuous_martingale | axiom | Right-continuous martingale
s_root_decomposition_properties | theorem | Properties of the root space decomposition
s_running_maxima_M_n | state | running maxima M n
s_sa_part_dense_via_functional_calculus | state | sa part dense via functional calculus
s_sacks_density_theorem | theorem | Sacks density theorem
s_sacks_jump_inversion | theorem | Sacks jump inversion theorem
s_sacks_splitting_theorem | theorem | Sacks splitting theorem
s_sat_boolean_satisfiability | state | SAT (Boolean satisfiability)
s_saturated_ultrapowers | state | saturated ultrapowers
s_scale_property | state | Scale property
s_schrodinger_operator_L_with_potential_u | axiom | schrodinger operator L with potential u
s_schur_property_l1 | theorem | Schur property of ℓ¹
s_schur_ramsey | theorem | Schur's theorem (Ramsey)
s_schurs_lemma_2 | theorem | schurs_lemma
s_schwarz_reflection_principle | theorem | Schwarz reflection principle
s_scott_theorem_V_not_L | theorem | Scott's theorem (no measurable cardinal in L)
s_second_difference_subsolution_property | state | second difference subsolution property
s_second_isomorphism_theorem | theorem | Second isomorphism theorem (diamond)
s_second_moment_l_functions_characters | theorem | Second moment of L-functions over characters
s_second_order_martingale | state | second order martingale
s_selberg_erdos_elementary_pnt | theorem | Selberg–Erdős elementary proof of PNT
s_semimartingale | axiom | Semimartingale
s_semisimple_decomposition_into_simples | theorem | Decomposition of semisimple Lie algebras into simple ideals
