s_euclidean_plane | axiom | Euclidean plane ℝ²
s_splitting_field_of_xq_minus_x | state | splitting field of xq minus x
s_q_roots_form_subfield | state | q roots form subfield
s_tensor_product_universal_property | theorem | Tensor product universal property
s_bilinear_map | axiom | bilinear map
s_tensor_product_construction | state | tensor product construction
s_universal_property_via_hom | state | universal property via hom
s_cohn_irreducibility_criterion | theorem | Cohn's irreducibility criterion
s_base_b_digits_of_prime | state | base b digits of prime
s_root_location_bound | state | root location bound
s_hua_identity_theorem | theorem | Hua's identity
s_hua_candidate_identity | state | hua candidate identity
s_inverse_manipulation | state | inverse manipulation
s_ito_character_degree_theorem | theorem | Itô's theorem on character degrees
s_abelian_normal_subgroup | axiom | abelian normal subgroup
s_clifford_induced_characters | state | clifford induced characters
s_orbit_sum_on_A | state | orbit sum on A
s_localization_universal_property | theorem | Universal property of localization
s_multiplicative_subset | axiom | multiplicative subset
s_construction_of_localization | state | construction of localization
s_splitting_field_theorem | theorem | Splitting field existence and uniqueness
s_iterated_root_adjunction | state | iterated root adjunction
s_terminating_construction | state | terminating construction
s_normal_basis_theorem | theorem | Normal basis theorem
s_L_as_kG_module | state | L as kG module
s_dedekind_linear_independence | state | dedekind linear independence
s_stickelberger_theorem | theorem | Stickelberger's theorem on Gauss sums
s_gauss_sum_definition | state | gauss sum definition
s_gauss_sum_prime_factorization | state | gauss sum prime factorization
s_tate_cohomology_cyclic_theorem | theorem | Mac Lane's theorem on cohomology of cyclic groups
s_finite_cyclic_group | axiom | finite cyclic group
s_g_module_M | axiom | g module M
s_periodic_resolution | state | periodic resolution
s_two_periodic_cohomology | state | two periodic cohomology
s_schur_multiplier_theorem | theorem | Schur multiplier and central extensions
s_central_extension | axiom | central extension
s_h2_classifies_projective_reps | state | h2 classifies projective reps
s_schur_cover_construction | state | schur cover construction
s_wigner_eckart_theorem | theorem | Wigner–Eckart theorem
s_compact_lie_group | axiom | compact lie group
s_tensor_operator | axiom | tensor operator
s_irreducible_tensor_operator | state | irreducible tensor operator
s_clebsch_gordan_decomposition | state | clebsch gordan decomposition
s_multiplicity_one_theorem | theorem | Multiplicity-one theorem
s_reductive_group_GL_n | axiom | reductive group GL n
s_irreducible_automorphic_representation | axiom | irreducible automorphic representation
s_whittaker_model_for_pi | state | whittaker model for pi
s_local_whittaker_uniqueness | state | local whittaker uniqueness
s_galois_descent_theorem | theorem | Galois descent
s_galois_extension_L_over_K | axiom | galois extension L over K
s_object_over_L_with_descent_data | axiom | object over L with descent data
s_descent_cocycle | state | descent cocycle
s_h1_classification_of_forms | state | h1 classification of forms
s_intermediate_value_theorem | theorem | Intermediate Value theorem
s_normalized_sign_change_setup | state | normalized sign change setup
s_nested_intervals_with_sign_change | state | nested intervals with sign change
s_extreme_value_theorem | theorem | Extreme Value theorem
s_image_is_bounded | state | image is bounded
s_maximizing_sequence_in_domain | state | maximizing sequence in domain
s_mean_value_theorem_terminal | theorem | Mean Value theorem
s_differentiable_on_open_interval | axiom | differentiable on open interval
s_tilted_function_with_equal_endpoints | state | tilted function with equal endpoints
s_rolle_theorem_point | state | rolle theorem point
s_cauchy_mean_value_theorem | theorem | Cauchy mean value theorem
s_paired_function_with_equal_endpoints | state | paired function with equal endpoints
s_lhopital_rule | theorem | L'Hôpital's rule
s_indeterminate_form_zero_over_zero | axiom | indeterminate form zero over zero
s_normalized_0_over_0_pair | state | normalized 0 over 0 pair
s_ratio_equals_derivative_ratio_at_xi | state | ratio equals derivative ratio at xi
s_darboux_theorem_analysis | theorem | Darboux's theorem (intermediate value for derivatives)
s_auxiliary_g_with_critical_point | state | auxiliary g with critical point
s_interior_critical_point_of_g | state | interior critical point of g
s_cantor_intersection_theorem | theorem | Cantor's intersection theorem
s_nested_nonempty_closed_sets_shrinking_diameter | axiom | nested nonempty closed sets shrinking diameter
s_cauchy_sequence_from_nested_sets | state | cauchy sequence from nested sets
s_limit_point_in_each_Fn | state | limit point in each Fn
s_banach_steinhaus | theorem | Banach–Steinhaus uniform boundedness principle
s_banach_space | axiom | banach space
s_family_of_pointwise_bounded_operators | axiom | family of pointwise bounded operators
s_closed_covering_of_banach_space | state | closed covering of banach space
s_E_n_with_interior_ball | state | E n with interior ball
s_arzela_ascoli | theorem | Arzelà–Ascoli theorem
s_compact_metric_space | axiom | compact metric space
s_uniformly_bounded_equicontinuous_family | axiom | uniformly bounded equicontinuous family
s_family_indexed_by_dense_subset_D | state | family indexed by dense subset D
s_pointwise_convergent_on_D_subsequence | state | pointwise convergent on D subsequence
s_stone_weierstrass | theorem | Stone–Weierstrass theorem
s_closure_is_lattice | state | closure is lattice
s_two_point_interpolation_property | state | two point interpolation property
s_tietze_extension_theorem | theorem | Tietze extension theorem
s_normal_topological_space | axiom | normal topological space
s_bounded_continuous_function_on_closed_subset | axiom | bounded continuous function on closed subset
s_urysohn_function_for_each_level | state | urysohn function for each level
s_uniformly_convergent_extension_series | state | uniformly convergent extension series
s_dini_theorem | theorem | Dini's theorem
s_monotone_pointwise_convergent_continuous_sequence | axiom | monotone pointwise convergent continuous sequence
s_open_cover_from_pointwise_bound | state | open cover from pointwise bound
s_uniform_bound_on_X | state | uniform bound on X
s_caratheodory_extension | theorem | Carathéodory extension theorem
s_premeasure_on_algebra_of_sets | axiom | premeasure on algebra of sets
s_sigma_algebra_generated | axiom | sigma algebra generated
s_outer_measure_on_powerset | state | outer measure on powerset
s_sigma_algebra_of_measurable_sets | state | sigma algebra of measurable sets
s_riesz_markov_representation | theorem | Riesz–Markov representation theorem
s_positive_linear_functional_on_Cc_X | axiom | positive linear functional on Cc X
s_outer_premeasure_on_opens | state | outer premeasure on opens
s_borel_measure_candidate | state | borel measure candidate
s_vitali_hahn_saks | theorem | Vitali–Hahn–Saks theorem
s_sequence_of_uniformly_absolutely_continuous_measures | axiom | sequence of uniformly absolutely continuous measures
s_finite_measure_space | axiom | finite measure space
s_complete_metric_space_of_classes | state | complete metric space of classes
s_equicontinuous_at_some_set | state | equicontinuous at some set
s_lebesgue_monotone_differentiation | theorem | Lebesgue's monotone differentiation theorem
s_monotone_function_on_interval | axiom | monotone function on interval
s_lebesgue_measure_on_R | axiom | lebesgue measure on R
s_dini_derivate_quadruple | state | dini derivate quadruple
s_zero_measure_disagreement_set | state | zero measure disagreement set
s_riesz_representation_Lp | theorem | Riesz representation theorem for L^p
s_sigma_finite_measure_space | axiom | sigma finite measure space
s_bounded_linear_functional_on_Lp | axiom | bounded linear functional on Lp
s_finite_signed_measure_nu_absolutely_continuous | state | finite signed measure nu absolutely continuous
s_fefferman_stein_vector_valued | theorem | Fefferman–Stein vector-valued maximal inequality
s_lebesgue_measure_on_Rn | axiom | lebesgue measure on Rn
s_lp_sequence_of_l1_functions | axiom | lp sequence of l1 functions
s_randomized_linear_combination | state | randomized linear combination
s_dual_pairing_to_scalar_maximal | state | dual pairing to scalar maximal
s_calderon_zygmund_decomposition | theorem | Calderón–Zygmund decomposition
s_l1_function_on_Rn | axiom | l1 function on Rn
s_stopping_cubes_with_average_exceeding_lambda | state | stopping cubes with average exceeding lambda
s_good_bad_decomposition | state | good bad decomposition
s_calderon_zygmund_Lp_bound | theorem | Calderón–Zygmund singular integral L^p bound
s_calderon_zygmund_kernel_on_Rn | axiom | calderon zygmund kernel on Rn
s_lp_function_on_Rn | axiom | lp function on Rn
s_L2_bound_for_singular_integral | state | L2 bound for singular integral
s_weak_11_bound_via_CZ_decomp | state | weak 11 bound via CZ decomp
s_ramsey_theorem_finite | theorem | Ramsey's theorem (finite version)
s_finite_ramsey_conjecture | state | finite ramsey conjecture
s_recursive_majority_color_neighbourhood | state | recursive majority color neighbourhood
s_ramsey_number_recurrence_R_r_s | state | ramsey number recurrence R r s
s_schur_theorem | theorem | Schur's theorem
s_edge_colored_complete_graph_from_schur_coloring | state | edge colored complete graph from schur coloring
s_monochromatic_triangle_to_schur_triple | state | monochromatic triangle to schur triple
s_van_der_waerden_theorem | theorem | Van der Waerden's theorem
s_vdw_conjecture_W_r_k | state | vdw conjecture W r k
s_color_focused_progressions | state | color focused progressions
s_vdw_finite_intersection_lemma | state | vdw finite intersection lemma
s_hales_jewett_theorem | theorem | Hales–Jewett theorem
s_finite_combinatorial_cube_word_space | axiom | finite combinatorial cube word space
s_combinatorial_line_target | state | combinatorial line target
s_shelah_cube_lemma | state | shelah cube lemma
s_graham_rothschild_theorem | theorem | Graham–Rothschild theorem
s_parameter_word_partition_setup | state | parameter word partition setup
s_iterated_hj_combinatorial_subspace | state | iterated hj combinatorial subspace
s_folkman_theorem | theorem | Folkman's theorem
s_folkman_finite_target | state | folkman finite target
s_folkman_via_hj_reduction | state | folkman via hj reduction
s_gallai_theorem_multidim_vdw | theorem | Gallai's theorem (multidimensional VdW)
s_homothetic_copy_target | state | homothetic copy target
s_gallai_via_hj_reduction | state | gallai via hj reduction
s_erdos_rado_theorem | theorem | Erdős–Rado theorem
s_uncountable_partition_target | state | uncountable partition target
s_transfinite_color_canonization | state | transfinite color canonization
s_carlson_simpson_theorem | theorem | Carlson–Simpson theorem
s_infinitary_hj_target | state | infinitary hj target
s_ultrafilter_on_variable_words | state | ultrafilter on variable words
s_erdos_ko_rado_theorem | theorem | Erdős–Ko–Rado theorem
s_finite_set_family | axiom | finite set family
s_intersecting_family_property | axiom | intersecting family property
s_max_intersecting_k_uniform_problem | state | max intersecting k uniform problem
s_cyclic_arc_counting_bound | state | cyclic arc counting bound
s_double_counting_arc_intersection | state | double counting arc intersection
s_kruskal_katona_theorem | theorem | Kruskal–Katona theorem
s_shadow_operator_on_set_family | axiom | shadow operator on set family
s_shadow_minimisation_problem | state | shadow minimisation problem
s_colex_initial_family_extremum | state | colex initial family extremum
s_compression_preserves_size_reduces_shadow | state | compression preserves size reduces shadow
s_lym_inequality | theorem | LYM inequality
s_antichain_in_boolean_lattice | axiom | antichain in boolean lattice
s_random_maximal_chain_on_boolean_lattice | state | random maximal chain on boolean lattice
s_chain_meets_antichain_at_most_once | state | chain meets antichain at most once
s_sperner_theorem | theorem | Sperner's theorem
s_middle_layer_bound_for_antichain | state | middle layer bound for antichain
s_bollobas_set_pair_inequality | theorem | Bollobás set-pair inequality
s_cross_intersecting_pair_system | axiom | cross intersecting pair system
s_random_linear_order_on_ground_set | state | random linear order on ground set
s_probability_event_disjoint_pairs | state | probability event disjoint pairs
s_sauer_shelah_lemma | theorem | Sauer–Shelah lemma (VC dimension)
s_vc_dimension_definition | axiom | vc dimension definition
s_vc_count_bound_target | state | vc count bound target
s_down_compressed_shattering_preserved | state | down compressed shattering preserved
s_shattering_bound_sum_binomials | state | shattering bound sum binomials
s_frankl_wilson_theorem | theorem | Frankl–Wilson theorem
s_mod_p_intersection_pattern_target | state | mod p intersection pattern target
s_incidence_polynomial_basis_in_F_p | state | incidence polynomial basis in F p
s_ahlswede_khachatrian_theorem | theorem | Ahlswede–Khachatrian theorem
s_t_intersecting_family_property | axiom | t intersecting family property
s_complete_intersection_problem | state | complete intersection problem
s_frankl_family_F_r_candidate | state | frankl family F r candidate
s_johnson_scheme_eigenvalue_optimum | state | johnson scheme eigenvalue optimum
s_hall_marriage_theorem | theorem | Hall's marriage theorem
s_bipartite_graph | axiom | bipartite graph
s_perfect_matching_definition | axiom | perfect matching definition
s_hall_condition_statement | state | hall condition statement
s_minimum_vertex_cover_smaller_than_A | state | minimum vertex cover smaller than A
s_augmenting_path_yields_violator_S | state | augmenting path yields violator S
s_konig_theorem | theorem | König's theorem
s_min_vertex_cover_definition | axiom | min vertex cover definition
s_lp_relaxation_matching_vs_cover | state | lp relaxation matching vs cover
s_konig_cover_constructed_from_max_matching | state | konig cover constructed from max matching
s_max_flow_min_cut_theorem | theorem | Max-flow min-cut theorem
s_directed_graph_with_capacities | axiom | directed graph with capacities
s_flow_conservation_axiom | axiom | flow conservation axiom
s_max_flow_lp_dual | state | max flow lp dual
s_residual_graph_no_augmenting_path_yields_cut | state | residual graph no augmenting path yields cut
s_berge_augmenting_theorem | theorem | Berge's theorem (augmenting path)
s_matching_in_graph | axiom | matching in graph
s_berge_target | state | berge target
s_symmetric_difference_M_Mprime_decomposes_into_paths | state | symmetric difference M Mprime decomposes into paths
s_petersen_theorem | theorem | Petersen's theorem (3-regular bridgeless)
s_three_regular_bridgeless_graph | axiom | three regular bridgeless graph
s_petersen_target | state | petersen target
s_tutte_odd_component_count_under_3regular_bridgeless | state | tutte odd component count under 3regular bridgeless
s_tutte_perfect_matching_theorem | theorem | Tutte's theorem (perfect matching)
s_tutte_condition_target | state | tutte condition target
s_maximal_counterexample_extremal_S | state | maximal counterexample extremal S
s_block_structure_contradicts_tutte_count | state | block structure contradicts tutte count
s_gale_ryser_theorem | theorem | Gale–Ryser theorem (degree sequence)
s_degree_sequence | axiom | degree sequence
s_gale_ryser_target | state | gale ryser target
s_transportation_polytope_integrality_certificate | state | transportation polytope integrality certificate
s_erdos_gallai_theorem | theorem | Erdős–Gallai theorem (graphic sequence)
s_graphic_sequence_target | state | graphic sequence target
s_sorted_degree_partial_sums_inequality | state | sorted degree partial sums inequality
s_erdos_stone_theorem | theorem | Erdős–Stone theorem
s_chromatic_number_definition | axiom | chromatic number definition
s_erdos_stone_target | state | erdos stone target
s_blow_up_complete_multipartite_found | state | blow up complete multipartite found
s_kovari_sos_turan_theorem | theorem | Kővári–Sós–Turán theorem
s_forbidden_subgraph_K_s_t | axiom | forbidden subgraph K s t
s_kst_extremal_target | state | kst extremal target
s_jensen_lower_bound_on_K_s_copies | state | jensen lower bound on K s copies
s_bondy_simonovits_theorem | theorem | Bondy–Simonovits theorem (even cycles)
s_forbidden_even_cycle_C_2k | axiom | forbidden even cycle C 2k
s_even_cycle_extremal_target | state | even cycle extremal target
s_bfs_layer_count_doubling | state | bfs layer count doubling
s_szemeredi_regularity_lemma | theorem | Szemerédi regularity lemma
s_density_between_vertex_sets | axiom | density between vertex sets
s_regularity_target | state | regularity target
s_mean_square_density_index_q | state | mean square density index q
s_graph_removal_lemma | theorem | Graph removal lemma
s_cleaned_reduced_graph_H_free_or_dense | state | cleaned reduced graph H free or dense
s_counting_lemma_dense_H_implication | state | counting lemma dense H implication
s_corners_theorem | theorem | Corners theorem (Ajtai–Szemerédi)
s_two_dimensional_lattice | axiom | two dimensional lattice
s_corner_target | state | corner target
s_triangle_removal_yields_corner | state | triangle removal yields corner
s_szemeredi_trotter_theorem | theorem | Szemerédi–Trotter theorem (incidence)
s_finite_point_set_in_plane | axiom | finite point set in plane
s_finite_line_set_in_plane | axiom | finite line set in plane
s_szemeredi_trotter_target | state | szemeredi trotter target
s_cutting_into_cells_count_incidences_per_cell | state | cutting into cells count incidences per cell
s_erdos_posa_theorem | theorem | Erdős–Pósa theorem
s_disjoint_cycle_packing_vs_cover | axiom | disjoint cycle packing vs cover
s_erdos_posa_dual_target | state | erdos posa dual target
s_dfs_back_edges_yield_disjoint_cycles_or_small_FVS | state | dfs back edges yield disjoint cycles or small FVS
s_q_analog_ekr_theorem | theorem | Erdős–Ko–Rado for vector spaces (q-analog)
s_finite_dim_vector_space_over_F_q | axiom | finite dim vector space over F q
s_q_ekr_target | state | q ekr target
s_grassmann_scheme_eigen_optimum | state | grassmann scheme eigen optimum
s_matrix_tree_theorem | theorem | Kirchhoff's matrix-tree theorem
s_laplacian_matrix_of_graph | axiom | laplacian matrix of graph
s_incidence_matrix_factorisation_L_eq_B_B_T | state | incidence matrix factorisation L eq B B T
s_cauchy_binet_expansion_of_principal_minor | state | cauchy binet expansion of principal minor
s_lgv_lemma | theorem | Lindström–Gessel–Viennot lemma
s_acyclic_directed_graph_with_weights | axiom | acyclic directed graph with weights
s_non_intersecting_lattice_paths_problem | axiom | non intersecting lattice paths problem
s_path_matrix_M_setup | state | path matrix M setup
s_sign_reversing_involution_on_crossing_path_systems | state | sign reversing involution on crossing path systems
s_rsk_correspondence | theorem | RSK correspondence
s_finite_matrix_nonneg_integer_entries | axiom | finite matrix nonneg integer entries
s_pair_of_young_tableaux | axiom | pair of young tableaux
s_rsk_target | state | rsk target
s_row_insertion_algorithm_well_defined | state | row insertion algorithm well defined
s_hook_length_formula | theorem | Hook-length formula
s_partition_lambda | axiom | partition lambda
s_standard_young_tableau | axiom | standard young tableau
s_hook_formula_conjecture | state | hook formula conjecture
s_hook_walk_bijection_setup | state | hook walk bijection setup
s_uniform_random_tableau_distribution_argument | state | uniform random tableau distribution argument
s_polya_enumeration_theorem | theorem | Pólya enumeration theorem
s_group_action_on_set_of_colorings | axiom | group action on set of colorings
s_cycle_index_polynomial | state | cycle index polynomial
s_burnside_orbit_counting | theorem | Burnside's lemma (orbit counting)
s_incidence_relation_R | state | incidence relation R
s_double_count_fix_stabilizer_identity | state | double count fix stabilizer identity
s_lagrange_inversion_theorem | theorem | Lagrange inversion theorem
s_formal_power_series_ring | axiom | formal power series ring
s_compositional_inverse_problem | axiom | compositional inverse problem
s_lagrange_inversion_target | state | lagrange inversion target
s_residue_calculation_of_coefficient | state | residue calculation of coefficient
s_macmahon_master_theorem | theorem | MacMahon's master theorem
s_macmahon_target | state | macmahon target
s_residue_extraction_diagonal_coefficient | state | residue extraction diagonal coefficient
s_stanley_reciprocity_theorem | theorem | Stanley's reciprocity theorem
s_rational_cone_in_R_n | axiom | rational cone in R n
s_lattice_point_enumerator | axiom | lattice point enumerator
s_reciprocity_target | state | reciprocity target
s_polar_duality_on_cones | state | polar duality on cones
s_five_color_theorem | theorem | Five color theorem
s_5_color_target | state | 5 color target
s_min_degree_at_most_five_lemma | state | min degree at most five lemma
s_kempe_chain_recoloring_argument | state | kempe chain recoloring argument
s_brooks_theorem | theorem | Brooks' theorem
s_brooks_target | state | brooks target
s_good_vertex_ordering_with_two_nonadjacent_priors | state | good vertex ordering with two nonadjacent priors
s_vizing_theorem | theorem | Vizing's theorem
s_edge_chromatic_number | axiom | edge chromatic number
s_vizing_target | state | vizing target
s_vizing_fan_recoloring_setup | state | vizing fan recoloring setup
s_grotzsch_theorem | theorem | Grötzsch's theorem
s_triangle_free_graph_property | axiom | triangle free graph property
s_grotzsch_target | state | grotzsch target
s_reducible_configurations_for_3_coloring | state | reducible configurations for 3 coloring
s_kuratowski_theorem | theorem | Kuratowski's theorem (planarity)
s_planar_embedding_definition | axiom | planar embedding definition
s_kuratowski_target | state | kuratowski target
s_minimal_non_planar_obstructions_K5_K33 | state | minimal non planar obstructions K5 K33
s_wagner_theorem | theorem | Wagner's theorem
s_wagner_target | state | wagner target
s_minor_vs_topological_minor_equivalence | state | minor vs topological minor equivalence
s_fary_theorem | theorem | Fáry's theorem
s_straight_line_embedding_definition | axiom | straight line embedding definition
s_fary_target | state | fary target
s_inductive_straightening_of_edges | state | inductive straightening of edges
s_steinitz_theorem | theorem | Steinitz's theorem (polytopes ↔ planar 3-connected)
s_steinitz_target | state | steinitz target
s_tutte_rubber_band_realisation | state | tutte rubber band realisation
s_lovasz_perfect_graph_theorem | theorem | Perfect graph theorem (Lovász)
s_perfect_graph_definition | axiom | perfect graph definition
s_perfect_complement_target | state | perfect complement target
s_complement_duality_on_perfection | state | complement duality on perfection
s_replication_lemma | state | replication lemma
s_strong_perfect_graph_theorem | theorem | Strong perfect graph theorem
s_spgt_target | state | spgt target
s_berge_graph_decomposition_skeleton | state | berge graph decomposition skeleton
s_lovasz_local_lemma | theorem | Lovász local lemma
s_dependency_graph_of_events | axiom | dependency graph of events
s_lll_target | state | lll target
s_weight_certificate_for_lll | state | weight certificate for lll
s_erdos_ramsey_lower_bound | theorem | Erdős probabilistic lower bound on R(k,k)
s_uniform_random_two_coloring_of_K_n | state | uniform random two coloring of K n
s_expected_count_less_than_one | state | expected count less than one
s_spencer_six_sigma_theorem | theorem | Spencer's six standard deviations
s_set_system_on_n_points | axiom | set system on n points
s_signed_coloring_problem | axiom | signed coloring problem
s_spencer_target | state | spencer target
s_partial_coloring_lemma_entropy_bucket | state | partial coloring lemma entropy bucket
s_beck_fiala_theorem | theorem | Beck–Fiala theorem
s_beck_fiala_target | state | beck fiala target
s_floating_lp_iteration | state | floating lp iteration
s_beck_three_coloring_theorem | theorem | Beck's three-coloring theorem
s_beck_three_color_target | state | beck three color target
s_random_two_coloring_and_local_correction | state | random two coloring and local correction
s_erdos_renyi_connectivity_threshold | theorem | Erdős–Rényi threshold for connectivity
s_random_graph_G_n_p_model | axiom | random graph G n p model
s_threshold_target | state | threshold target
s_first_moment_isolated_vertices | state | first moment isolated vertices
s_second_moment_estimate | state | second moment estimate
s_erdos_szekeres_theorem | theorem | Erdős–Szekeres monotone subsequence theorem
s_finite_sequence_of_reals | axiom | finite sequence of reals
s_monotone_subsequence_problem | axiom | monotone subsequence problem
s_es_target | state | es target
s_pair_labels_distinct | state | pair labels distinct
s_friendship_theorem | theorem | Friendship theorem (Erdős–Rényi–Sós)
s_friendship_condition_every_pair_unique_common_neighbor | axiom | friendship condition every pair unique common neighbor
s_friendship_target | state | friendship target
s_adjacency_spectral_argument | state | adjacency spectral argument
s_ore_theorem | theorem | Ore's theorem
s_hamilton_cycle_problem | axiom | hamilton cycle problem
s_ore_target | state | ore target
s_longest_path_endpoint_degree_sum_bound | state | longest path endpoint degree sum bound
s_bondy_chvatal_closure_theorem | theorem | Bondy–Chvátal closure theorem
s_closure_target | state | closure target
s_closure_operator_well_defined | state | closure operator well defined
s_chvatal_erdos_theorem | theorem | Chvátal–Erdős theorem
s_chvatal_erdos_target | state | chvatal erdos target
s_disjoint_paths_argument | state | disjoint paths argument
s_posa_rotation_extension_theorem | theorem | Pósa's rotation-extension lemma
s_posa_target | state | posa target
s_endpoint_set_grows_under_rotation | state | endpoint set grows under rotation
s_tutte_hamilton_4connected_planar | theorem | Tutte's theorem on Hamilton cycles in 4-connected planar
s_tutte_4conn_target | state | tutte 4conn target
s_tutte_path_construction | state | tutte path construction
s_fleischner_theorem | theorem | Fleischner's theorem
s_fleischner_target | state | fleischner target
s_dfs_ear_traversal_yields_hamilton_cycle_in_square | state | dfs ear traversal yields hamilton cycle in square
s_cauchy_davenport_theorem | theorem | Cauchy–Davenport theorem
s_subsets_of_Z_p | axiom | subsets of Z p
s_cauchy_davenport_target | state | cauchy davenport target
s_nullstellensatz_certificate_for_sumset | state | nullstellensatz certificate for sumset
s_davenport_constant_theorem_for_p_groups | theorem | Davenport constant for abelian groups
s_finite_abelian_group | axiom | finite abelian group
s_zero_sum_sequence_problem | axiom | zero sum sequence problem
s_davenport_target | state | davenport target
s_chevalley_warning_for_abelian_p_group | state | chevalley warning for abelian p group
s_kneser_addition_theorem | theorem | Kneser's addition theorem
s_sumset_definition | axiom | sumset definition
s_kneser_target | state | kneser target
s_quotient_by_stabilizer_gives_strict_sumset_growth | state | quotient by stabilizer gives strict sumset growth
s_plunnecke_ruzsa_inequality | theorem | Plünnecke–Ruzsa inequality
s_plunnecke_target | state | plunnecke target
s_petridis_magnification_argument | state | petridis magnification argument
s_freiman_theorem | theorem | Freiman's theorem
s_freiman_target | state | freiman target
s_ruzsa_covering_applied | state | ruzsa covering applied
s_bogolyubov_bohr_set_inside_2A_minus_2A | state | bogolyubov bohr set inside 2A minus 2A
s_behrend_construction_theorem | theorem | Behrend's construction (large AP-free set)
s_three_term_AP_free_property | axiom | three term AP free property
s_behrend_target | state | behrend target
s_sphere_in_Z_m_d_is_AP_free | state | sphere in Z m d is AP free
s_roth_theorem_3AP | theorem | Roth's theorem on 3-APs
s_roth_target | state | roth target
s_large_fourier_coefficient_dichotomy | state | large fourier coefficient dichotomy
s_density_increment_iteration | state | density increment iteration
s_kleene_recursion_theorem | theorem | Recursion theorem (Kleene's second)
s_godel_numbering_of_programs | state | godel numbering of programs
s_diagonal_program_construction | state | diagonal program construction
s_smn_theorem | theorem | Smn theorem (parameter theorem)
s_uniform_program_index | state | uniform program index
s_re_not_recursive | theorem | Existence of RE but non-recursive sets
s_halting_set_K | state | halting set K
s_K_is_re | state | K is re
s_karp_lipton_theorem | theorem | Karp–Lipton theorem (NP ⊆ P/poly ⇒ PH = Σ₂)
s_hypothetical_sat_circuit_family | state | hypothetical sat circuit family
s_self_reducible_circuit_finder | state | self reducible circuit finder
s_toda_theorem | theorem | Toda's theorem (PH ⊆ P^#P)
s_isolation_lemma_witness | state | isolation lemma witness
s_ph_inside_bpp_parity_p | state | ph inside bpp parity p
s_parity_p_in_p_sharp_p | state | parity p in p sharp p
s_sipser_gacs_lautemann | theorem | Sipser–Gács–Lautemann theorem (BPP ⊆ Σ₂)
s_amplified_bpp_acceptance_set | state | amplified bpp acceptance set
s_translation_cover_witness | state | translation cover witness
s_adleman_theorem | theorem | Adleman's theorem (BPP ⊆ P/poly)
s_amplified_bpp_machine | state | amplified bpp machine
s_universal_advice_string | state | universal advice string
s_yao_minimax_principle | theorem | Yao's minimax principle
s_randomized_alg_as_mixed_strategy | state | randomized alg as mixed strategy
s_razborov_smolensky | theorem | Razborov–Smolensky lower bound on AC⁰[p]
s_acc0_p_circuit_model | state | acc0 p circuit model
s_low_degree_polynomial_approximation | state | low degree polynomial approximation
s_parity_not_in_ac0 | theorem | Furst–Saxe–Sipser (parity ∉ AC⁰)
s_ac0_circuit_model | state | ac0 circuit model
s_random_restriction_argument | state | random restriction argument
s_depth_reduction_to_constant | state | depth reduction to constant
s_hastad_switching_lemma | theorem | Håstad's switching lemma
s_random_restriction_on_dnf | state | random restriction on dnf
s_encoding_of_bad_paths | state | encoding of bad paths
s_isolation_lemma_mvv | theorem | Isolation lemma (Mulmuley–Vazirani–Vazirani)
s_random_weighted_set_system | state | random weighted set system
s_schwartz_zippel_lemma | theorem | Schwartz–Zippel lemma
s_polynomial_and_sample_set | state | polynomial and sample set
s_inductive_root_bound | state | inductive root bound
s_valiant_vazirani | theorem | Valiant–Vazirani theorem (UNIQUE-SAT randomized hardness)
s_sat_instance_with_unknown_count | state | sat instance with unknown count
s_hashed_sat_instance | state | hashed sat instance
s_ip_equals_pspace | theorem | IP = PSPACE (Shamir)
s_tqbf_canonical_form | state | tqbf canonical form
s_arithmetized_tqbf | state | arithmetized tqbf
s_sum_check_protocol | state | sum check protocol
s_mip_equals_nexp | theorem | MIP = NEXP (Babai–Fortnow–Lund)
s_multi_prover_model | state | multi prover model
s_scaled_arithmetization_nexp | state | scaled arithmetization nexp
s_two_prover_oracle_protocol | state | two prover oracle protocol
s_gmw_zk_for_np | theorem | GMW zero-knowledge for NP
s_three_coloring_canonical_target | state | three coloring canonical target
s_commit_and_challenge_protocol | state | commit and challenge protocol
s_shannon_channel_coding | theorem | Shannon noisy channel coding theorem
s_dmc_capacity_definition | state | dmc capacity definition
s_random_codebook_achievability | state | random codebook achievability
s_kraft_mcmillan_inequality | theorem | Kraft–McMillan inequality
s_uniquely_decodable_code_model | state | uniquely decodable code model
s_extension_counting_bound | state | extension counting bound
s_slepian_wolf_theorem | theorem | Slepian–Wolf theorem
s_correlated_source_model | state | correlated source model
s_random_binning_scheme | state | random binning scheme
s_wyner_ziv_theorem | theorem | Wyner–Ziv theorem
s_side_info_source_model | state | side info source model
s_auxiliary_u_construction | state | auxiliary u construction
s_singleton_bound | theorem | Singleton bound
s_block_code_model | state | block code model
s_punctured_code_injection | state | punctured code injection
s_plotkin_bound | theorem | Plotkin bound
s_high_distance_binary_code | state | high distance binary code
s_double_count_pairwise_distances | state | double count pairwise distances
s_hamming_bound | theorem | Hamming (sphere-packing) bound
s_t_error_correcting_code | state | t error correcting code
s_disjoint_hamming_balls | state | disjoint hamming balls
s_gilbert_varshamov_bound | theorem | Gilbert–Varshamov bound
s_greedy_code_construction | state | greedy code construction
s_mrrw_lp_bound | theorem | MRRW (linear programming) bound
s_distance_distribution_polynomials | state | distance distribution polynomials
s_delsarte_linear_program | state | delsarte linear program
s_mrrw_dual_polynomial | state | mrrw dual polynomial
